"VehicleId,TSPCode,TSPVehicleId,VIN,WeightClass"
"2537,TTC,67536,5TENZ22N05Z121494,NULL"
"2538,TTC,67544,1FDNF20S41ED87217,Car"
"2539,TTC,67545,4TANL42N5XZ453576,Car"
"2540,TTC,67552,4KBB4B1U53J803514,Truck"
"2541,TTC,67553,5TEVL52N32Z097460,Car"
"2542,TTC,67554,5TENX22N17Z433021,Car"
"2543,TTC,67845,5TENX22N85Z107164,Car"
"2544,TTC,67846,5TBJU32146S461264,Car"
"2545,TTC,67847,1FTNX20P04ED41725,Car"
"2546,TTC,67848,5TBJU321X6S466744,Car"
"2547,TTC,67853,1FDAF56P26EA71714,Truck"
"2548,TTC,67854,5TENL42NX2Z100879,Car"
"2549,TTC,67861,1FTPW14546KE01735,Car"
"2550,TTC,67862,1FTRX17213NB52389,Car"
"2551,TTC,67863,1FDXF80C7SVA35674,Truck"
"2552,TTC,75592,2GDHG31K3L4512578,Car"
"2553,TTC,75593,JALE5B16277904955,Truck"
"2554,TTC,75594,1GDHG31R5W1044751,Car"
"2555,TTC,76444,3GCEC14V96G249250,Car"
"2556,TTC,76771,1HTLDZ5N8JH575852,Truck"
"2557,TTC,76772,1208,NULL"
"2558,TTC,76971,1GBJG31R5X1072996,Car"
"2559,TTC,76989,1FTJS34L1VHB96009,Car"
"2560,TTC,78809,Z07689,NULL"
"2561,TTC,66352,1GCHG39R111145609,Car"
"2562,TTC,72897,1FTSX20R88ED34659,Car"
"2563,UTC,2923,NULL,NULL"
"2564,UTC,2924,NULL,NULL"
"2565,UTC,2930,NULL,NULL"
"2566,UTC,2931,NULL,NULL"
"2567,UTC,2934,NULL,NULL"
"2568,UTC,2935,NULL,NULL"
"2569,UTC,2994,NULL,NULL"
"2570,TTC,1,NULL,NULL"
"2571,TTC,4,NULL,NULL"
"2572,TTC,76958,1GTZGFBA2A1126691,Car"
"2573,TTC,76960,1GCRCREA2BZ141008,Car"
"2574,TTC,76967,1GDJG31R0Y1165319,Car"
"2575,TTC,76969,4KBC4B1R4YJ805066,Truck"
"2576,TTC,76976,1GCGG29K781123388,NULL"
"2577,TTC,76977,1GTGG25C291179500,Car"
"2578,TTC,76983,1FTSE34L56HA05110,Car"
"2579,TTC,76984,1GCCS14X3XK170419,Car"
"2580,TTC,76991,1GTEC14CX8Z325527,Car"
"2581,TTC,76992,2GCEC19T041166481,Car"
"2582,TTC,76993,2GTEC19CD91110886,NULL"
"2583,TTC,79147,M78622,NULL"
"2584,TTC,79148,W50660,NULL"
"2585,TTC,79624,201839,NULL"
"2586,TTC,79625,12501,NULL"
"2587,TTC,79626,D02276,NULL"
"2588,TTC,80352,NULL,NULL"
"2589,TTC,76463,1FTKR1EDXBPA47045,Car"
"2590,TTC,76962,4KLC4J1N49J800664,NULL"
"2591,TTC,76963,1GCCS19541K148587,Car"
"2592,TTC,76964,1GCGG25V871247880,Car"
"2593,TTC,76972,1GTZGFBA8A1126629,Car"
"2594,TTC,76973,1GTZGFBA8A1126716,NULL"
"2595,TTC,76978,4KBC4B1R2YJ805003,Truck"
"2596,TTC,76981,1GCCS145818244386,Car"
"2597,TTC,76986,4KBB4B1R4YJ800039,Truck"
"2598,TTC,76988,4KBC4B1R41J800925,Truck"
"2599,TTC,76995,1GCGG25V471247441,Car"
"2600,TTC,76996,1GTGG25C391181062,Car"
"2601,TTC,79627,A43796,NULL"
"2602,TTC,67542,1FDWE35L57DB45985,Truck"
"2603,TTC,83047,4V4ND2JJ2YN255457,Truck"
"2604,TTC,66538,AX9429,NULL"
"2605,TTC,21455,457105,NULL"
"2606,TTC,27862,W99674,NULL"
"2607,TTC,28246,2GCEC19T041166481,Car"
"2608,TTC,33892,NULL,NULL"
"2609,TTC,37014,1FAFP44664F148450,Car"
"2610,TTC,37087,NULL,NULL"
